상권코드명,총유동인구수,남성유동인구수,여성유동인구수,연령대10유동인구수,연령대20유동인구수,연령대30유동인구수,연령대40유동인구수,연령대50유동인구수,연령대60이상유동인구수
한천로131길,69528,34063,35465,2847,19341,12607,11818,12083,10832
한천로132길,213589,112321,101268,8115,52144,37587,35949,43362,36431
한천로143길,114243,57327,56916,6087,32582,19657,19091,19757,17069
한천로144길,68910,33778,35132,1557,17848,14638,11762,13916,9190
한천로14길,122734,67228,55506,1081,25061,28032,25181,25823,17556
한천로150길,136114,69873,66241,3931,32792,24967,24132,28344,21948
한천로155길,74250,35781,38469,4697,12641,12623,13466,16299,14524
한천로170길,107652,51011,56641,6199,22714,15865,19809,21493,21572
한천로17길,6932,3829,3103,132,1130,1485,1471,1581,1134
한천로18길,20594,11417,9177,56,3556,4651,4360,4805,3167
한천로24길,66673,36028,30645,1491,11944,16416,13939,13408,9476
한천로33길,23173,11329,11844,923,4064,4476,4639,4507,4565
한천로36길,43148,21830,21318,1865,6549,9276,8772,8941,7745
한천로46길,27588,13904,13684,3212,4963,5137,5062,4866,4348
한천로78길,54031,27845,26186,5147,10698,9367,9569,10581,8669
한천로80길,49154,25969,23185,3451,9580,8467,8886,10207,8562
해등로16길,56988,29275,27713,4550,11912,10129,10118,11349,8930
해등로26길,10886,5217,5669,912,2206,1944,1759,1928,2136
행당로17길,25295,12254,13041,2729,6223,4612,4369,4128,3234
행당로1길,46996,21520,25476,3630,7507,11582,8682,8230,7366
행당로8길,13951,6514,7437,1693,2916,2879,2508,2159,1797
행운1길,117529,59256,58273,5584,43211,25073,14759,14987,13915
행운길,189183,93159,96024,9110,70880,43614,23539,21920,20119
혜화로14길,30870,15763,15107,5141,6197,5156,6143,4393,3838
혜화로3길,39380,20570,18810,5341,17940,5918,4355,2995,2831
호암로18길,17147,10762,6385,1061,6232,3995,2869,1529,1461
호암로22길,134823,86044,48779,6696,65699,28378,14190,10287,9573
호암로26길,433482,269133,164349,20815,211322,86128,48279,36691,30246
홍릉로29길,8864,4744,4120,275,1824,1864,1285,1769,1847
홍릉로5길,98652,54852,43801,1606,12110,13002,15523,24288,32123
홍연길,31261,17115,14146,623,5722,5887,6495,6417,6118
홍은중앙로8길,26793,14279,12513,2251,4658,3749,5397,5598,5139
홍은중앙로9길,18843,9887,8956,1602,3319,2746,3764,3861,3550
홍제내2나길,5702,2614,3087,240,1123,972,1074,1150,1142
