profit,livingPeople,numberStore,workingPeople,movingPeople,rent,gu,region
15790977,1113,3,190,28712,70.91666667,관악구,기타지역
13339018,3180,2,68,77016,70.91666667,관악구,기타지역
1994466.5,3199,2,118,24533,70.91666667,관악구,기타지역
11960325.5,3441,2,637,53922,70.91666667,관악구,기타지역
5881578,3075,8,478,119724,70.91666667,관악구,기타지역
5190203,1128,2,14,31355,70.91666667,관악구,기타지역
10167327.43,7484,10,1031,199028,70.91666667,관악구,기타지역
5036624.75,931,5,193,45219,70.91666667,관악구,기타지역
10653125,1662,5,129,38444,70.91666667,관악구,기타지역
3720973,402,1,108,12700,70.91666667,관악구,기타지역
4592713.25,254,5,74,33661,70.91666667,관악구,기타지역
11619926.5,1623,6,144,76695,70.91666667,관악구,기타지역
4324138,2692,1,44,15553,70.91666667,관악구,기타지역
4324138,2195,2,211,24685,70.91666667,관악구,기타지역
11266280.5,1260,7,296,83270,70.91666667,관악구,기타지역
13992708,1662,3,129,41971,70.91666667,관악구,기타지역
5953700,599,4,5,30751,70.91666667,관악구,기타지역
2724131.143,4705,5,281,127450,70.91666667,관악구,기타지역
5365317.625,2517,8,289,72653,70.91666667,관악구,기타지역
11155025.22,1515,12,155,86112,70.91666667,관악구,기타지역
4535268.5,599,6,5,30117,70.91666667,관악구,기타지역
4885517,5193,2,300,80542,70.91666667,관악구,기타지역
4157931,262,2,6,7637,70.91666667,관악구,기타지역
6771005.333,758,5,130,35890,70.91666667,관악구,기타지역
5417533.75,2301,4,191,51113,70.91666667,관악구,기타지역
10427015,839,5,216,23479,70.91666667,관악구,기타지역
5938847.333,1446,2,134,52688,70.91666667,관악구,기타지역
4558993,1914,1,22,30859,70.91666667,관악구,기타지역
3791057,1416,4,61,37642,70.91666667,관악구,기타지역
10631683,571,2,39,24077,70.91666667,관악구,기타지역
9386179,1465,7,73,22714,70.91666667,관악구,기타지역
7584870.5,1934,6,273,43025,70.91666667,관악구,기타지역
18413660.8,2100,7,384,82972,70.91666667,관악구,기타지역
18413660.8,2100,7,384,82972,70.91666667,관악구,기타지역
3845445.5,2896,4,40,10363,70.91666667,관악구,기타지역
5869317,2540,3,39,70455,70.91666667,관악구,기타지역
5149325.4,3646,7,371,90972,70.91666667,관악구,기타지역
6493815,462,2,90,60525,70.91666667,관악구,기타지역
18244999.5,1711,3,46,108308,70.91666667,관악구,기타지역
3259485.286,4705,5,281,141694,70.91666667,관악구,기타지역
10944703.43,4152,10,225,182123,70.91666667,관악구,기타지역
3160355.75,3457,4,55,70441,70.91666667,관악구,기타지역
8188456.333,2073,5,271,23543,70.91666667,관악구,기타지역
14426688,1711,2,46,115986,70.91666667,관악구,기타지역
3053730.4,797,7,36,28948,70.91666667,관악구,기타지역
9209559,539,7,148,181363,70.91666667,관악구,기타지역
18346291,4346,1,88,61513,70.91666667,관악구,기타지역
10344635.67,2843,3,94,68699,70.91666667,관악구,기타지역
2770689,1678,2,50,63728,70.91666667,관악구,기타지역
17457254.5,3180,1,68,69212,70.91666667,관악구,기타지역
13641690.14,6855,48,628,433482,70.91666667,관악구,기타지역
10307861.61,1785,25,64,134823,70.91666667,관악구,기타지역
18564000,171,1,66,14367,70.91666667,관악구,기타지역
1872840,2691,2,89,76221,70.91666667,관악구,기타지역
6798478,5461,4,166,131993,70.91666667,관악구,기타지역
6425565.5,2517,8,289,82637,70.91666667,관악구,기타지역
12770523.43,6855,40,628,446944,70.91666667,관악구,기타지역
22161071,1631,1,6827,24979,70.91666667,관악구,기타지역
6577899,2540,5,39,59961,70.91666667,관악구,기타지역
4431724,2692,1,44,20805,70.91666667,관악구,기타지역
5854452.667,3714,3,86,94928,70.91666667,관악구,기타지역
10634922,3832,10,379,136542,70.91666667,관악구,기타지역
4458558.5,1128,2,14,37365,70.91666667,관악구,기타지역
14830075,1113,4,190,28220,70.91666667,관악구,기타지역
4770357.5,1082,3,258,43007,70.91666667,관악구,기타지역
11975169.5,1873,2,40,18032,70.91666667,관악구,기타지역
3460039,1168,1,26,15149,70.91666667,관악구,기타지역
1795789.75,854,4,114,62905,70.91666667,관악구,기타지역
6450461.143,3353,9,132,55181,70.91666667,관악구,기타지역
